,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,kirakira,sb,-10.46,161.92,79.86,100.0,92.0,14.23
1,nishihara,jp,35.74,139.53,64.4,72.0,75.0,6.93
2,kruisfontein,za,-34.0,24.73,56.55,93.0,12.0,3.27
3,elizabeth city,us,36.3,-76.22,53.6,76.0,1.0,4.7
4,te anau,nz,-45.41,167.72,52.95,81.0,0.0,9.42
5,cunduacan,mx,18.07,-93.17,78.8,83.0,40.0,4.7
6,komsomolskiy,ru,67.55,63.78,12.54,84.0,80.0,9.31
7,mao,td,19.55,-71.08,75.2,88.0,75.0,4.7
9,hobyo,so,5.35,48.53,76.8,98.0,24.0,5.28
10,roald,no,62.58,6.12,46.4,100.0,76.0,4.7
11,port hedland,au,-20.31,118.58,102.2,15.0,0.0,11.41
12,ribeira grande,pt,38.52,-28.7,61.68,100.0,0.0,4.16
13,progreso,mx,-34.68,-56.22,68.0,94.0,90.0,2.24
14,coracora,pe,-15.02,-73.78,42.96,100.0,76.0,2.15
15,sahibganj,in,25.24,87.63,84.99,49.0,0.0,4.61
17,cherskiy,ru,68.75,161.3,32.61,81.0,12.0,3.38
18,carinhanha,br,-14.3,-43.77,73.11,62.0,12.0,10.98
19,los llanos de aridane,es,28.66,-17.92,64.4,77.0,76.0,6.93
20,samarai,pg,-10.62,150.67,82.11,100.0,80.0,9.42
21,christchurch,nz,-43.53,172.64,59.0,54.0,0.0,10.29
22,flinders,au,-34.58,150.85,73.4,53.0,20.0,4.7
24,kavieng,pg,-2.57,150.8,86.16,100.0,12.0,3.38
25,mbanza-ngungu,cd,-5.25,14.87,71.67,96.0,64.0,1.7
26,jacareacanga,br,-6.22,-57.76,73.74,95.0,0.0,2.15
27,izumo,jp,35.37,132.75,64.4,77.0,75.0,19.46
28,nome,us,30.04,-94.42,60.8,77.0,1.0,4.7
29,opuwo,na,-18.06,13.84,54.57,52.0,0.0,2.71
30,jiuquan,cn,39.73,98.49,40.44,100.0,88.0,3.71
32,frontera,mx,18.53,-92.64,78.8,83.0,40.0,4.7
33,lambarene,ga,-0.7,10.22,75.27,95.0,20.0,2.48
34,baghdad,iq,33.3,44.38,57.2,82.0,0.0,4.7
35,montrose,us,-37.81,145.34,71.6,56.0,0.0,5.82
36,burnie,au,-41.05,145.91,60.06,100.0,8.0,5.06
37,kandalaksha,ru,67.15,32.41,20.01,78.0,0.0,2.15
38,sur,om,22.57,59.53,75.72,100.0,0.0,7.63
39,lucea,jm,18.44,-78.17,80.6,78.0,20.0,4.7
40,ambon,id,47.55,-2.56,53.6,93.0,75.0,4.7
41,gat,ly,14.69,-16.54,64.74,78.0,8.0,9.75
42,matara,lk,-13.74,-72.9,37.11,97.0,48.0,1.36
43,baruun-urt,mn,46.68,113.28,48.45,61.0,0.0,4.94
44,atuona,pf,-9.8,-139.03,81.03,100.0,44.0,15.46
45,provideniya,ru,64.42,-173.23,28.4,54.0,0.0,24.61
46,tabou,ci,4.42,-7.36,82.02,100.0,68.0,4.83
47,isangel,vu,-19.55,169.27,78.42,100.0,92.0,11.77
48,ajra,in,16.12,74.21,82.56,41.0,0.0,4.27
49,otradnyy,ru,53.38,51.35,32.97,78.0,0.0,8.86
51,busselton,au,-33.64,115.35,66.36,100.0,76.0,12.77
52,camacha,pt,33.08,-16.33,60.8,77.0,40.0,19.46
53,marzuq,ly,14.4,46.47,50.79,86.0,0.0,2.48
54,koslan,ru,63.46,48.9,19.56,79.0,0.0,6.51
55,bredasdorp,za,-34.53,20.04,55.4,93.0,24.0,4.7
56,saravan,la,39.72,45.65,46.4,87.0,90.0,4.7
57,pangai,to,-19.8,-174.35,80.6,83.0,20.0,4.7
58,ostrovnoy,ru,68.05,39.51,13.17,70.0,0.0,6.62
59,kidal,ml,18.44,1.41,70.32,24.0,0.0,7.63
60,manzil salim,tn,35.86,8.48,53.6,87.0,0.0,3.36
61,rocha,uy,-34.48,-54.34,64.02,92.0,80.0,2.04
62,ambilobe,mg,-13.19,49.05,70.14,100.0,56.0,3.49
63,pisco,pe,-13.71,-76.2,69.8,77.0,0.0,6.93
65,tasiilaq,gl,65.61,-37.64,28.4,68.0,68.0,10.29
66,port elizabeth,za,39.31,-74.98,51.8,70.0,1.0,3.38
67,pokrovskoye,ru,47.41,38.9,46.65,48.0,0.0,8.41
68,sakaiminato,jp,35.55,133.23,64.4,77.0,75.0,13.87
69,virginia beach,us,36.85,-75.98,53.6,71.0,75.0,5.82
70,biak,id,-0.91,122.88,83.01,91.0,68.0,4.5
71,hofn,is,64.25,-15.21,40.17,100.0,92.0,9.19
72,vuktyl,ru,63.86,57.31,22.62,77.0,88.0,7.74
73,sfantu gheorghe,ro,44.65,26.83,53.6,71.0,0.0,2.24
74,oriximina,br,-1.77,-55.87,74.01,99.0,80.0,3.71
75,dudinka,ru,69.41,86.18,10.2,87.0,80.0,15.46
76,poum,nc,41.28,20.71,43.77,91.0,0.0,2.15
77,yellowknife,ca,62.45,-114.38,30.2,74.0,75.0,4.7
78,albany,au,42.65,-73.75,50.0,21.0,1.0,6.93
79,vanimo,pg,-2.67,141.3,83.82,100.0,36.0,13.22
80,megion,ru,61.04,76.11,26.6,58.0,0.0,11.18
81,severo-kurilsk,ru,50.68,156.12,31.62,99.0,32.0,16.58
82,bundaberg,au,-24.87,152.35,75.27,100.0,8.0,14.23
83,mezen,ru,65.85,44.24,22.17,88.0,0.0,3.94
84,belaya gora,ru,68.54,146.19,34.86,100.0,0.0,6.62
85,coihaique,cl,-45.58,-72.07,39.2,93.0,40.0,2.24
86,kayerkan,ru,69.35,87.76,9.57,89.0,76.0,16.02
87,kimberley,ca,-28.74,24.76,50.0,76.0,12.0,3.36
88,taltal,cl,-25.41,-70.49,56.01,96.0,0.0,2.71
89,bilma,ne,18.69,12.92,67.44,17.0,0.0,4.61
91,lypova dolyna,ua,50.56,33.8,37.56,78.0,0.0,7.63
92,ahar,ir,38.48,47.07,38.1,100.0,92.0,2.93
93,ahipara,nz,-35.17,173.16,65.91,78.0,24.0,4.94
94,santa cruz,cr,36.97,-122.03,77.0,42.0,1.0,6.93
95,aitape,pg,-3.15,142.36,80.49,100.0,44.0,4.16
96,sioux lookout,ca,50.1,-91.92,53.6,43.0,75.0,3.36
97,atar,mr,20.52,-13.05,63.66,20.0,0.0,1.48
98,mataura,pf,-46.19,168.86,60.42,77.0,0.0,12.66
99,port macquarie,au,-31.43,152.91,71.6,64.0,40.0,11.41
100,sambava,mg,-14.27,50.17,74.37,100.0,92.0,10.54
101,udachnyy,ru,66.42,112.4,39.81,94.0,92.0,9.75
102,tuatapere,nz,-46.13,167.69,57.45,89.0,32.0,19.93
103,jambi,id,-1.6,103.62,77.34,99.0,80.0,5.5
104,fershampenuaz,ru,53.52,59.82,44.85,81.0,32.0,14.67
105,rio grande,br,-32.03,-52.1,72.66,92.0,64.0,11.99
106,toora-khem,ru,52.47,96.11,55.92,40.0,24.0,0.36
107,zeya,ru,53.74,127.27,54.66,30.0,24.0,4.61
109,valenca,br,-13.37,-39.07,75.09,93.0,100.0,6.62
110,bakel,sn,14.9,-12.46,78.87,26.0,0.0,14.34
111,strezhevoy,ru,60.73,77.6,26.6,58.0,0.0,11.18
112,havoysund,no,71.0,24.66,22.26,100.0,0.0,3.38
113,vao,nc,59.1,26.19,25.77,80.0,8.0,2.71
114,kavaratti,in,10.57,72.64,87.42,97.0,0.0,2.59
115,lubango,ao,-14.92,13.49,59.07,70.0,0.0,3.04
117,nabire,id,-3.36,135.5,79.05,84.0,44.0,2.71
118,yulara,au,-25.24,130.99,87.8,14.0,0.0,11.41
119,north bend,us,43.41,-124.22,53.6,76.0,1.0,20.8
120,szolnok,hu,47.18,20.19,55.4,82.0,0.0,6.93
121,boa vista,br,2.82,-60.67,80.6,78.0,75.0,8.05
122,danielskuil,za,-28.19,23.54,48.27,61.0,20.0,6.51
123,pendleton,us,34.65,-82.78,60.8,93.0,90.0,6.93
124,adre,td,13.47,22.2,67.17,19.0,0.0,11.65
126,port lincoln,au,-34.72,135.86,77.61,59.0,80.0,10.31
127,buerarema,br,-14.96,-39.3,76.8,100.0,100.0,7.52
129,kingisepp,ru,59.38,28.61,22.62,79.0,0.0,2.37
130,ulaangom,mn,49.98,92.07,48.45,56.0,0.0,3.6
131,coquimbo,cl,-29.95,-71.34,55.4,87.0,90.0,3.36
132,dawei,mm,14.07,98.19,86.34,64.0,8.0,2.71
133,sao jose da coroa grande,br,-8.9,-35.15,72.21,100.0,92.0,2.71
134,kaitangata,nz,-46.28,169.85,62.4,63.0,0.0,14.0
136,cape town,za,-33.93,18.42,60.8,93.0,75.0,8.05
137,inuvik,ca,68.36,-133.71,12.2,56.0,40.0,5.82
139,ushtobe,kz,45.25,77.98,65.91,25.0,44.0,6.17
140,tra vinh,vn,9.93,106.35,90.12,67.0,36.0,3.49
141,mar del plata,ar,-46.43,-67.52,48.99,67.0,0.0,16.69
145,malanje,ao,-9.54,16.35,57.0,83.0,0.0,2.37
146,mambolo,sl,8.92,-13.04,80.6,74.0,64.0,4.7
147,tual,id,-5.67,132.75,83.82,100.0,44.0,13.22
149,ancud,cl,-41.87,-73.83,46.47,85.0,68.0,2.26
150,puerto quijarro,bo,-19.0,-57.72,74.73,68.0,0.0,4.05
151,barbalha,br,-7.31,-39.3,74.37,77.0,64.0,8.86
152,tynset,no,62.28,10.78,41.0,73.0,68.0,4.7
153,turukhansk,ru,65.8,87.96,10.02,88.0,64.0,15.46
154,hervey bay,au,-25.3,152.85,73.83,100.0,36.0,12.21
155,viedma,ar,-40.81,-62.99,52.41,64.0,0.0,7.96
156,yeppoon,au,-23.13,150.74,82.4,45.0,0.0,5.82
157,maniitsoq,gl,65.42,-52.9,20.01,65.0,0.0,2.48
158,san policarpo,ph,12.18,125.51,83.19,94.0,56.0,9.42
159,sungaipenuh,id,-2.08,101.38,71.4,92.0,76.0,0.47
160,nagato,jp,34.35,131.14,62.6,88.0,75.0,6.93
161,gidole,et,5.65,37.37,64.11,97.0,92.0,2.26
162,acapulco,mx,16.86,-99.88,82.4,83.0,75.0,5.82
163,saint-georges,gf,46.12,-70.67,27.21,67.0,0.0,4.16
164,hualmay,pe,-11.1,-77.61,64.2,90.0,20.0,2.59
165,chuy,uy,-33.69,-53.46,69.78,94.0,24.0,13.67
166,selma,us,36.57,-119.61,84.2,36.0,1.0,6.93
168,urengoy,ru,65.96,78.37,10.38,88.0,44.0,11.77
169,mahebourg,mu,-20.41,57.7,78.8,78.0,75.0,10.29
170,butaritari,ki,3.07,172.79,83.64,100.0,0.0,12.77
171,kananga,cd,-5.9,22.41,69.78,94.0,44.0,4.16
172,kula,bg,45.61,19.53,50.0,71.0,0.0,6.93
173,usinsk,ru,66.0,57.56,6.06,65.0,0.0,3.6
174,akdepe,tm,42.05,59.39,50.0,87.0,0.0,2.24
175,shediac,ca,46.22,-64.55,35.6,55.0,5.0,4.27
176,iskateley,ru,67.68,53.15,15.87,79.0,68.0,6.17
177,esperance,au,10.24,-61.45,77.0,88.0,20.0,6.93
179,tarakan,id,3.3,117.63,82.92,97.0,64.0,2.15
180,sorong,id,-0.86,131.25,83.01,100.0,0.0,6.85
182,portland,au,45.52,-122.67,64.4,36.0,1.0,10.29
183,hermanus,za,-34.42,19.24,48.27,91.0,24.0,2.93
184,bluff,nz,-23.58,149.07,83.19,39.0,0.0,9.98
185,matamoros,mx,25.87,-97.51,71.6,73.0,1.0,5.82
186,upernavik,gl,72.79,-56.15,22.71,93.0,80.0,3.83
187,saskylakh,ru,71.97,114.09,12.09,91.0,8.0,6.51
188,hovd,mn,63.83,10.7,48.2,66.0,40.0,8.05
189,la macarena,co,2.18,-73.79,69.51,100.0,56.0,2.04
190,ongandjera,na,-17.88,15.07,59.88,46.0,0.0,4.61
191,mumford,gh,5.26,-0.76,77.25,95.0,0.0,7.4
193,amiens,fr,49.89,2.3,50.0,93.0,75.0,3.36
194,awbari,ly,26.59,12.77,72.48,26.0,0.0,13.67
195,niquero,cu,20.04,-77.58,79.14,100.0,36.0,10.2
196,numan,ng,9.46,12.04,83.28,66.0,8.0,14.12
197,vaini,to,15.34,74.49,78.51,71.0,0.0,3.15
198,natal,br,-5.81,-35.21,77.0,88.0,40.0,5.82
199,yar-sale,ru,66.83,70.83,1.47,81.0,8.0,3.94
200,manjo,cm,4.85,9.82,70.77,99.0,76.0,1.81
201,kukushtan,ru,57.65,56.5,35.6,95.0,75.0,11.18
202,santiago,br,-33.44,-70.65,64.4,52.0,0.0,2.24
203,praia da vitoria,pt,38.73,-27.07,57.2,93.0,20.0,7.74
204,doha,kw,25.29,51.53,80.6,69.0,0.0,2.24
205,nikolskoye,ru,59.7,30.79,24.8,85.0,0.0,2.71
206,mehamn,no,71.03,27.85,32.0,93.0,75.0,6.93
207,aksarka,ru,66.56,67.8,1.74,60.0,0.0,5.61
208,henties bay,na,-22.12,14.28,59.7,100.0,12.0,4.16
209,batagay-alyta,ru,67.8,130.41,34.32,89.0,64.0,7.4
210,liuhe,cn,42.28,125.73,56.37,67.0,92.0,2.15
211,yanam,in,16.73,82.22,88.05,67.0,0.0,5.28
212,tura,ru,25.52,90.21,78.06,92.0,0.0,3.49
213,ilulissat,gl,69.22,-51.1,24.8,85.0,8.0,5.82
214,celestun,mx,20.87,-90.4,80.58,95.0,68.0,13.0
216,termiz,uz,37.23,67.28,68.0,37.0,0.0,9.17
217,saucillo,mx,28.03,-105.29,70.86,17.0,64.0,5.84
218,alofi,nu,-19.06,-169.92,84.2,74.0,88.0,5.82
219,kapuskasing,ca,49.42,-82.43,48.2,29.0,40.0,9.17
220,halifax,ca,44.65,-63.58,41.0,38.0,5.0,4.7
221,puerto escondido,mx,15.86,-97.07,84.2,74.0,20.0,12.44
222,georgetown,sh,6.8,-58.16,75.2,94.0,75.0,4.7
223,gorontalo,id,0.54,123.06,83.37,81.0,36.0,2.26
224,pangnirtung,ca,66.15,-65.72,24.6,85.0,92.0,5.28
225,green river,us,41.53,-109.47,59.0,21.0,1.0,5.82
227,port blair,in,11.67,92.75,84.99,100.0,0.0,6.62
228,champerico,gt,16.38,-93.6,82.4,65.0,90.0,5.82
229,bethel,us,60.79,-161.76,50.0,43.0,1.0,24.16
230,buraydah,sa,26.33,43.97,69.8,56.0,90.0,25.28
231,letterkenny,ie,54.95,-7.73,48.54,93.0,92.0,20.27
232,thompson,ca,55.74,-97.86,37.4,100.0,90.0,12.75
234,kilindoni,tz,-7.91,39.67,82.11,100.0,0.0,9.98
235,kjollefjord,no,70.95,27.35,32.0,93.0,75.0,6.93
236,constitucion,cl,23.99,-104.67,73.4,23.0,90.0,5.82
237,ambagarh chauki,in,20.78,80.75,91.47,39.0,0.0,10.98
238,lincoln,ar,53.23,-0.54,51.8,81.0,80.0,12.75
239,itaueira,br,-7.6,-43.03,75.09,78.0,56.0,2.71
240,vicente guerrero,mx,16.93,-96.7,77.0,38.0,90.0,16.11
241,karratha,au,-20.74,116.85,98.31,16.0,0.0,4.61
242,kita,ml,35.76,139.74,64.4,72.0,75.0,12.75
243,carutapera,br,-1.2,-46.02,77.97,96.0,80.0,4.05
244,payo,ph,-3.75,103.64,76.62,100.0,68.0,4.5
245,nemuro,jp,43.32,145.57,57.2,41.0,40.0,8.05
246,laurel,us,45.67,-108.77,55.4,37.0,75.0,11.41
